docId,ia_active,created_at,is_active,status,template_name,meal_type,monday,sunday,saturday,tuesday,updated_at,friday,thursday,wednesday
WMT0001,,,true,active,Breakfast Menu March 2026,breakfast,"[""ITEM089"",""ITEM078"",""ITEM005"",""ITEM035"",""ITEM003""]","[""ITEM089"",""ITEM078"",""ITEM005"",""ITEM035"",""ITEM003""]","[""ITEM089"",""ITEM078"",""ITEM005"",""ITEM035"",""ITEM003""]","[""ITEM089"",""ITEM078"",""ITEM005"",""ITEM035"",""ITEM003""]","{""_seconds"":1774101596,""_nanoseconds"":625000000}","[""ITEM089"",""ITEM078"",""ITEM005"",""ITEM035"",""ITEM003""]","[""ITEM089"",""ITEM078"",""ITEM005"",""ITEM035"",""ITEM003""]","[""ITEM089"",""ITEM078"",""ITEM005"",""ITEM035"",""ITEM003""]"
WMT0002,,"{""_seconds"":1774101346,""_nanoseconds"":115000000}",true,active,Lunch Menu Combo 1 March 2026,lunch,"[""ITEM055"",""ITEM048"",""ITEM022"",""ITEM019"",""ITEM027""]","[""ITEM055"",""ITEM048"",""ITEM022"",""ITEM019"",""ITEM027""]","[""ITEM055"",""ITEM048"",""ITEM022"",""ITEM019"",""ITEM027""]","[""ITEM055"",""ITEM048"",""ITEM022"",""ITEM019"",""ITEM027""]","{""_seconds"":1774101346,""_nanoseconds"":115000000}","[""ITEM055"",""ITEM048"",""ITEM022"",""ITEM019"",""ITEM027""]","[""ITEM055"",""ITEM048"",""ITEM022"",""ITEM019"",""ITEM027""]","[""ITEM055"",""ITEM048"",""ITEM003"",""ITEM022"",""ITEM019""]"
WMT0003,,"{""_seconds"":1774101734,""_nanoseconds"":594000000}",true,active,Lunch Menu Combo 2 March 2026,lunch,"[""ITEM048"",""ITEM022""]","[""ITEM069"",""ITEM023""]","[""ITEM044"",""ITEM008""]","[""ITEM015"",""ITEM030""]","{""_seconds"":1774101734,""_nanoseconds"":594000000}","[""ITEM023"",""ITEM078""]","[""ITEM023"",""ITEM035""]",[]
WMT0004,,"{""_seconds"":1774102042,""_nanoseconds"":549000000}",true,active,Dinner Menu Combo 1 March 2026,dinner,"[""ITEM019"",""ITEM022""]","[""ITEM025"",""ITEM004""]","[""ITEM080"",""ITEM060""]","[""ITEM055"",""ITEM048""]","{""_seconds"":1774102042,""_nanoseconds"":549000000}","[""ITEM007"",""ITEM075""]","[""ITEM074"",""ITEM042""]","[""ITEM022"",""ITEM019""]"
WMT0005,,"{""_seconds"":1774102326,""_nanoseconds"":42000000}",true,active,Dinner Menu Combo 2 March 2026,dinner,"[""ITEM023"",""ITEM088""]","[""ITEM050"",""ITEM030""]","[""ITEM057"",""ITEM054""]","[""ITEM026"",""ITEM009""]","{""_seconds"":1774102326,""_nanoseconds"":42000000}","[""ITEM064"",""ITEM043""]","[""ITEM033"",""ITEM065""]","[""ITEM064"",""ITEM057""]"
