docId,push_body,reference_id,target_user_uids,created_by_uid,trigger_source,created_at,type,title,body,created_by_name,publish_at,expires_at,delivery_count_email_sent,updated_at,context_type,target_user_uid,review_status,published_at,delivery_count_push_failed,delivery_count_total,short_message,delivery_count_in_app,send_push,reviewed_at,target_type,send_email,requires_review,notification_id,priority,reference_type,notification_layer,send_in_app,email_body,push_title,delivery_count_push_sent,context_id,reviewed_by_uid,email_subject,delivery_count_email_failed,status,notification_type,message,target_uid,target_role,target_employee_number,related_entity_type,related_entity_id,is_read,is_active,is_visible,read_at,show_popup_on_publish
MHQi0c3OBKmSMWVfkn0Q,Your lunch booking for 07-04-2026 has been confirmed.,nLPvX68p9lN9OwaYmUlF,"[""k9hMLpbQ7USaz86Cv4jJhAvCYOw2""]",,reservation_service,"{""_seconds"":1775589471,""_nanoseconds"":735498000}",meal_booking_confirmed,Meal Booking Confirmed,Your lunch booking for 07-04-2026 has been confirmed.,,"{""_seconds"":1775589471,""_nanoseconds"":735498000}",,0,"{""_seconds"":1775589471,""_nanoseconds"":735498000}",reservation,k9hMLpbQ7USaz86Cv4jJhAvCYOw2,not_required,"{""_seconds"":1775589471,""_nanoseconds"":735498000}",0,1,Meal Booking Confirmed,1,true,,single_user,true,false,MHQi0c3OBKmSMWVfkn0Q,normal,reservation,transactional,true,Your lunch booking for 07-04-2026 has been confirmed.,Meal Booking Confirmed,0,nLPvX68p9lN9OwaYmUlF,,Meal Booking Confirmed,0,completed,,,,,,,,,,,,
RPT4V3kWWRvSJxeKzNLO,Your breakfast booking for 07-04-2026 has been issued.,z19cOIMhTV29vMSovDuX,"[""k9hMLpbQ7USaz86Cv4jJhAvCYOw2""]",,meal_issuance_service,"{""_seconds"":1775589624,""_nanoseconds"":372095000}",meal_issued,Meal Issued,Your breakfast booking for 07-04-2026 has been issued.,,"{""_seconds"":1775589624,""_nanoseconds"":372095000}",,0,"{""_seconds"":1775589624,""_nanoseconds"":372095000}",meal_issuance,k9hMLpbQ7USaz86Cv4jJhAvCYOw2,not_required,"{""_seconds"":1775589624,""_nanoseconds"":372095000}",0,1,Meal Issued,1,true,,single_user,true,false,RPT4V3kWWRvSJxeKzNLO,normal,meal_issuance,transactional,true,Your breakfast booking for 07-04-2026 has been issued.,Meal Issued,0,z19cOIMhTV29vMSovDuX,,Meal Issued,0,completed,,,,,,,,,,,,
RUeuOtULf4zFow2zM7FC,management club — Please mark attendance before 10-04-2026 18:00.,movie_show_2026,"[""FRM2Uv8cFBcTVoFjiAEbsShXEMp2"",""NdvyiXDrYihgtbmaWFH8JDkPbkA2"",""RUYglQT4K3ZAAk1mnhmJybXMkli1"",""XruEceEfuUXGzFaI4EvqdoeaKrW2"",""0dPGGn4ltLQD9W8eWBc5Z6dIpFy1"",""NrzXXSDc8GXNtwg6Im3SoHWBnZB2"",""Iggwq4MHI4X98HM5scjf3GSvKaq1"",""k9hMLpbQ7USaz86Cv4jJhAvCYOw2"",""UZb0JjFWeCQWqmIYSkAIUhsqudR2"",""jBtDx9AsThQNPH84iPQpHe9AEPk2"",""YXEuLCt6JkgXJhFMcxyYntfZwzB2"",""xwnflWIHUwR5gM7o3upaAASQbUm1""]",,event_attendance_service,"{""_seconds"":1775597324,""_nanoseconds"":712635000}",event_invitation,movie show,management club — Please mark attendance before 10-04-2026 18:00.,,"{""_seconds"":1775597324,""_nanoseconds"":712635000}",,0,"{""_seconds"":1775597324,""_nanoseconds"":712635000}",event,,not_required,"{""_seconds"":1775597324,""_nanoseconds"":712635000}",0,12,movie show,12,false,,all_active_employees,false,false,RUeuOtULf4zFow2zM7FC,normal,event,administrative,true,management club — Please mark attendance before 10-04-2026 18:00.,movie show,0,movie_show_2026,,movie show,0,published,,,,,,,,,,,,true
RhommOLnaOKs8dpBOVvX,Your breakfast booking for 08-04-2026 has been confirmed.,3fHuSdkwGTPAm4swetll,"[""Iggwq4MHI4X98HM5scjf3GSvKaq1""]",,reservation_service,"{""_seconds"":1775573460,""_nanoseconds"":295507000}",meal_booking_confirmed,Meal Booking Confirmed,Your breakfast booking for 08-04-2026 has been confirmed.,,"{""_seconds"":1775573460,""_nanoseconds"":295507000}",,0,"{""_seconds"":1775573460,""_nanoseconds"":295507000}",reservation,Iggwq4MHI4X98HM5scjf3GSvKaq1,not_required,"{""_seconds"":1775573460,""_nanoseconds"":295507000}",0,1,Meal Booking Confirmed,1,true,,single_user,true,false,RhommOLnaOKs8dpBOVvX,normal,reservation,transactional,true,Your breakfast booking for 08-04-2026 has been confirmed.,Meal Booking Confirmed,0,3fHuSdkwGTPAm4swetll,,Meal Booking Confirmed,0,completed,,,,,,,,,,,,
U8KW15236iJkOUa0JJLm,Your dinner booking for 07-04-2026 has been confirmed.,UtHhOmtrA2BqXAKBUt4S,"[""k9hMLpbQ7USaz86Cv4jJhAvCYOw2""]",,reservation_service,"{""_seconds"":1775589497,""_nanoseconds"":535253000}",meal_booking_confirmed,Meal Booking Confirmed,Your dinner booking for 07-04-2026 has been confirmed.,,"{""_seconds"":1775589497,""_nanoseconds"":535253000}",,0,"{""_seconds"":1775589497,""_nanoseconds"":535253000}",reservation,k9hMLpbQ7USaz86Cv4jJhAvCYOw2,not_required,"{""_seconds"":1775589497,""_nanoseconds"":535253000}",0,1,Meal Booking Confirmed,1,true,,single_user,true,false,U8KW15236iJkOUa0JJLm,normal,reservation,transactional,true,Your dinner booking for 07-04-2026 has been confirmed.,Meal Booking Confirmed,0,UtHhOmtrA2BqXAKBUt4S,,Meal Booking Confirmed,0,completed,,,,,,,,,,,,
WxMVcEuYsRWGEdVoarcB,Your breakfast booking for 08-04-2026 has been confirmed.,OhPR0PAhwhShSKpwsKvP,"[""k9hMLpbQ7USaz86Cv4jJhAvCYOw2""]",,reservation_service,"{""_seconds"":1775573362,""_nanoseconds"":804085000}",meal_booking_confirmed,Meal Booking Confirmed,Your breakfast booking for 08-04-2026 has been confirmed.,,"{""_seconds"":1775573362,""_nanoseconds"":804085000}",,0,"{""_seconds"":1775573362,""_nanoseconds"":804085000}",reservation,k9hMLpbQ7USaz86Cv4jJhAvCYOw2,not_required,"{""_seconds"":1775573362,""_nanoseconds"":804085000}",0,1,Meal Booking Confirmed,1,true,,single_user,true,false,WxMVcEuYsRWGEdVoarcB,normal,reservation,transactional,true,Your breakfast booking for 08-04-2026 has been confirmed.,Meal Booking Confirmed,0,OhPR0PAhwhShSKpwsKvP,,Meal Booking Confirmed,0,completed,,,,,,,,,,,,
X87VKaCVZMT4WVh0yPwh,Your breakfast booking for 07-04-2026 has been confirmed.,cqdu2XGnFGu38TEgVKn4,"[""k9hMLpbQ7USaz86Cv4jJhAvCYOw2""]",,reservation_service,"{""_seconds"":1775589455,""_nanoseconds"":344458000}",meal_booking_confirmed,Meal Booking Confirmed,Your breakfast booking for 07-04-2026 has been confirmed.,,"{""_seconds"":1775589455,""_nanoseconds"":344458000}",,0,"{""_seconds"":1775589455,""_nanoseconds"":344458000}",reservation,k9hMLpbQ7USaz86Cv4jJhAvCYOw2,not_required,"{""_seconds"":1775589455,""_nanoseconds"":344458000}",0,1,Meal Booking Confirmed,1,true,,single_user,true,false,X87VKaCVZMT4WVh0yPwh,normal,reservation,transactional,true,Your breakfast booking for 07-04-2026 has been confirmed.,Meal Booking Confirmed,0,cqdu2XGnFGu38TEgVKn4,,Meal Booking Confirmed,0,completed,,,,,,,,,,,,
aVGlUVoA9xlAJvmqtSk7,Your lunch booking for 08-04-2026 has been cancelled.,RrA6r31UZqk1501YKnYw,"[""Iggwq4MHI4X98HM5scjf3GSvKaq1""]",,reservation_service,"{""_seconds"":1775573487,""_nanoseconds"":706187000}",meal_booking_cancelled,Meal Booking Cancelled,Your lunch booking for 08-04-2026 has been cancelled.,,"{""_seconds"":1775573487,""_nanoseconds"":706187000}",,0,"{""_seconds"":1775573487,""_nanoseconds"":706187000}",reservation,Iggwq4MHI4X98HM5scjf3GSvKaq1,not_required,"{""_seconds"":1775573487,""_nanoseconds"":706187000}",0,1,Meal Booking Cancelled,1,true,,single_user,true,false,aVGlUVoA9xlAJvmqtSk7,normal,reservation,transactional,true,Your lunch booking for 08-04-2026 has been cancelled.,Meal Booking Cancelled,0,RrA6r31UZqk1501YKnYw,,Meal Booking Cancelled,0,completed,,,,,,,,,,,,
dRGcV81ixAJ57N86VtHV,,,,,,,,Meal Issued,,,,,,,,,,,,,,,,,,,,dRGcV81ixAJ57N86VtHV,,,,,,,,,,,,,meal_issued,Your lunch booking for 27-03-2026 has been issued.,,,,,,true,true,true,,
e7iNmjelWVlgokstwrAu,Your dinner booking for 08-04-2026 has been confirmed.,JXpMNAEbyyPWTMxrAUiB,"[""k9hMLpbQ7USaz86Cv4jJhAvCYOw2""]",,reservation_service,"{""_seconds"":1775573338,""_nanoseconds"":717641000}",meal_booking_confirmed,Meal Booking Confirmed,Your dinner booking for 08-04-2026 has been confirmed.,,"{""_seconds"":1775573338,""_nanoseconds"":717641000}",,0,"{""_seconds"":1775573338,""_nanoseconds"":717641000}",reservation,k9hMLpbQ7USaz86Cv4jJhAvCYOw2,not_required,"{""_seconds"":1775573338,""_nanoseconds"":717641000}",0,1,Meal Booking Confirmed,1,true,,single_user,true,false,e7iNmjelWVlgokstwrAu,normal,reservation,transactional,true,Your dinner booking for 08-04-2026 has been confirmed.,Meal Booking Confirmed,0,JXpMNAEbyyPWTMxrAUiB,,Meal Booking Confirmed,0,completed,,,,,,,,,,,,
