docId,item_Id,name,food_type_code,food_type_name,is_active,estimated_price,base_unit,created_at,updated_at,is_visible,supports_feedback,supports_rate,sort_order,available_meal_types
ITEM061,ITEM061,Hareesa,desi,desi,true,,half,,,true,true,true,1,"[""cafe""]"
ITEM062,ITEM062,Beef Bong Nihari,desi,desi,true,,single,,,true,true,true,1,"[""cafe""]"
ITEM063,ITEM063,Beef Bong Nihari,desi,desi,true,,full,,,true,true,true,1,"[""cafe""]"
ITEM064,ITEM064,Beef Bong Nihari,desi,desi,true,,half,,,true,true,true,1,"[""cafe""]"
ITEM065,ITEM065,Chicken Hari Mirch Karahi,desi,desi,true,,single,,,true,true,true,1,"[""cafe""]"
ITEM066,ITEM066,Chicken Hari Mirch Karahi,desi,desi,true,,full,,,true,true,true,1,"[""cafe""]"
ITEM067,ITEM067,Chicken Hari Mirch Karahi,desi,desi,true,,half,,,true,true,true,1,"[""cafe""]"
ITEM068,ITEM068,Mutton Paye,desi,desi,true,,single,,,true,true,true,1,"[""cafe""]"
ITEM069,ITEM069,Mutton Paye,desi,desi,true,,full,,,true,true,true,1,"[""cafe""]"
ITEM070,ITEM070,Mutton Paye,desi,desi,true,,half,,,true,true,true,1,"[""cafe""]"
ITEM071,ITEM071,Chicken Haleem,desi,desi,true,,single,,,true,true,true,1,"[""cafe""]"
ITEM072,ITEM072,Chicken Haleem,desi,desi,true,,full,,,true,true,true,1,"[""cafe""]"
ITEM073,ITEM073,Chicken Haleem,desi,desi,true,,half,,,true,true,true,1,"[""cafe""]"
ITEM074,ITEM074,Chicken Handi,desi,desi,true,,single,,,true,true,true,1,"[""cafe""]"
ITEM075,ITEM075,Chicken Handi,desi,desi,true,,full,,,true,true,true,1,"[""cafe""]"
ITEM076,ITEM076,Chicken Handi,desi,desi,true,,half,,,true,true,true,1,"[""cafe""]"
ITEM077,ITEM077,Gur Rice,dessert,dessert,true,,single,,,true,true,true,1,"[""cafe""]"
ITEM078,ITEM078,Gur Rice,dessert,dessert,true,,full,,,true,true,true,1,"[""cafe""]"
ITEM079,ITEM079,Gur Rice,dessert,dessert,true,,half,,,true,true,true,1,"[""cafe""]"
ITEM080,ITEM080,Mutanjan,dessert,dessert,true,,single,,,true,true,true,1,"[""cafe""]"
ITEM081,ITEM081,Mutanjan,dessert,dessert,true,,full,,,true,true,true,1,"[""cafe""]"
ITEM082,ITEM082,Mutanjan,dessert,dessert,true,,half,,,true,true,true,1,"[""cafe""]"
ITEM083,ITEM083,Alu Cutlet,side_item,Side_Item,true,,sinfle,,,true,true,true,1,"[""cafe""]"
ITEM084,ITEM084,Shami Kabab,side_item,Side_Item,true,,single,,,true,true,true,1,"[""cafe""]"
ITEM085,ITEM085,Pathora Channa,desi,desi,true,,single,,,true,true,true,1,"[""cafe""]"
ITEM086,ITEM086,Spanish Omelette,bf_item,BF_Item,true,,single,,,true,true,true,1,[“breakfast”]
ITEM087,ITEM087,French Toast,bf_item,BF_Item,true,,single,,,true,true,true,1,[“breakfast”]
ITEM088,ITEM088,Scrambled Egg,bf_item,BF_Item,true,,single,,,true,true,true,1,[“breakfast”]
ITEM089,ITEM089,Regular Omelette,bf_item,BF_Item,true,,single,,,true,true,true,1,[“breakfast”]
ITEM090,ITEM090,Boiled Egg,bf_item,BF_Item,true,,single,,,true,true,true,1,[“breakfast”]
ITEM091,ITEM091,Fried Egg,bf_item,BF_Item,true,,single,,,true,true,true,1,[“breakfast”]
ITEM092,ITEM092,Bread Slice,bread,Bread,true,,single,,,true,true,true,1,[“breakfast”]
ITEM093,ITEM093,Russian Salad,salad,Salad,true,,single,,,true,true,true,1,[“cafe”]
ITEM094,ITEM094,Potato Salad,salad,Salad,true,,single,,,true,true,true,1,[“cafe”]
ITEM095,ITEM095,Cesar Salad,salad,Salad,true,,single,,,true,true,true,1,[“cafe”]
ITEM096,ITEM096,Bean Salad,salad,Salad,true,,single,,,true,true,true,1,[“cafe”]
ITEM097,ITEM097,Kachumar Salad,salad,Salad,true,,single,,,true,true,true,1,[“cafe”]
ITEM098,ITEM098,Grean Salad,salad,Salad,true,,single,,,true,true,true,1,"[“cafe”, “bbq”]"
ITEM099,ITEM099,Mexican Salad,salad,Salad,true,,single,,,true,true,true,1,[“cafe”]
ITEM100,ITEM100,Lentil Salad,salad,Salad,true,,single,,,true,true,true,1,[“cafe”]
ITEM101,ITEM101,Plain Yogurt,bf_item,BF_Item,true,,single,,,true,true,true,1,[“breakfast”]
ITEM102,ITEM102,Raita,sauce,Sauce,true,,single,,,true,true,true,1,"[“bbq”, “cafe”]"
ITEM103,ITEM103,BBQ Sauce,sauce,Sauce,true,,single,,,true,true,true,1,"[“bbq”, “cafe”]"
ITEM104,ITEM104,Plum Sauce,sauce,Sauce,true,,single,,,true,true,true,1,"[“bbq”, “cafe”]"
ITEM105,ITEM105,Latte (Machine Made),hot_bevarage,Hot_Bevarage,true,,single,,,true,true,true,1,"[“breakfast”, “cafe”]"
ITEM106,ITEM106,Cappucino (Machine Made),hot_bevarage,Hot_Bevarage,true,,single,,,true,true,true,1,"[“breakfast”, “cafe”]"
ITEM107,ITEM107,Black Coffee (Machine Made),hot_bevarage,Hot_Bevarage,true,,single,,,true,true,true,1,"[“breakfast”, “cafe”]"
ITEM108,ITEM108,Cardimom Tea (Nescafe),hot_bevarage,Hot_Bevarage,true,,single,,,true,true,true,1,"[“breakfast”, “cafe”]"
ITEM109,ITEM109,Mix Tea,hot_bevarage,Hot_Bevarage,true,,single,,,true,true,true,1,"[“breakfast”, “cafe”]"
